time,fips,region,ownercode,firmage,Emp,EmpEnd,EarnBeg,EmpS,EmpTotal,FrmJbC
1996,06,California,A05,3,2998737.0,3023476.0,8206.0,2413209.0,4103846.0,24739.0
1996,06,California,A05,4,6313066.0,6333465.0,8828.0,5193582.0,8257745.0,20399.0
1996,06,California,A05,5,29644994.0,29698140.0,10798.0,25880911.0,35645950.0,53146.0
1996,08,Colorado,A05,1,389084.0,425355.0,7692.0,288330.0,618440.0,36272.0
1996,08,Colorado,A05,2,421349.0,423725.0,7047.0,313748.0,619865.0,2376.0
1996,08,Colorado,A05,3,341006.0,345188.0,7580.0,262448.0,483800.0,4182.0
1996,08,Colorado,A05,4,865620.0,873558.0,7799.0,681603.0,1194335.0,7939.0
1996,08,Colorado,A05,5,4371149.0,4405670.0,9339.0,3661969.0,5546004.0,34521.0
1996,09,Connecticut,A05,1,,245226.0,,,332777.0,
1996,09,Connecticut,A05,2,,231533.0,,,299484.0,
1996,09,Connecticut,A05,3,,205888.0,,,260093.0,
1996,09,Connecticut,A05,4,,586853.0,,,724154.0,
1996,09,Connecticut,A05,5,,4175796.0,,,4860072.0,
1996,15,Hawaii,A05,1,89713.0,97154.0,6284.0,70706.0,128157.0,7441.0
1996,15,Hawaii,A05,2,88332.0,88344.0,6819.0,72965.0,111312.0,11.0
1996,15,Hawaii,A05,3,86916.0,86559.0,6840.0,72734.0,109139.0,-357.0
1996,15,Hawaii,A05,4,235584.0,234603.0,7674.0,205197.0,278355.0,-981.0
1996,15,Hawaii,A05,5,1195112.0,1194298.0,9187.0,1081783.0,1353083.0,-813.0
1996,16,Idaho,A05,1,94059.0,105118.0,4933.0,68011.0,155223.0,11059.0
1996,16,Idaho,A05,2,96774.0,95684.0,5164.0,72331.0,139568.0,-1089.0
1996,16,Idaho,A05,3,73241.0,73120.0,4995.0,56201.0,103202.0,-119.0
1996,16,Idaho,A05,4,207870.0,207868.0,5954.0,165459.0,279473.0,-1.0
1996,16,Idaho,A05,5,1126351.0,1131248.0,8431.0,967445.0,1389357.0,4897.0
1996,17,Illinois,A05,1,804501.0,875742.0,8193.0,623973.0,1214647.0,71242.0
1996,17,Illinois,A05,2,868796.0,871775.0,7672.0,692003.0,1176272.0,2978.0
1996,17,Illinois,A05,3,779210.0,782218.0,8353.0,640172.0,1019435.0,3007.0
1996,17,Illinois,A05,4,2057567.0,2065594.0,8559.0,1721800.0,2616340.0,8028.0
1996,17,Illinois,A05,5,14579067.0,14571254.0,10668.0,12913370.0,17122274.0,-7813.0
